epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8018,1.79555,1.4862,1.07878,0.49313,0.4175,0.37891,0.1847,1.64336,3.11996,1.07232,0.0670491,0.000332837,0.000332837
2,88.364,1.71105,1.21232,1.05672,0.70651,0.53818,0.61142,0.3017,1.55791,1.22383,1.03833,0.0340359,0.00065298,0.00065298
3,130.111,1.67313,1.16597,1.04151,0.70448,0.53663,0.61975,0.31418,1.55438,1.16594,1.04218,0.00100953,0.000959924,0.000959924
4,171.818,1.6348,1.11311,1.03728,0.72493,0.5767,0.6608,0.3393,1.49306,1.08976,1.02637,0.0009406,0.0009406,0.0009406
5,213.418,1.60466,1.07502,1.02305,0.73909,0.59573,0.68406,0.35974,1.46137,1.031,1.01586,0.0009208,0.0009208,0.0009208
6,255.085,1.5863,1.05777,1.01651,0.76071,0.57275,0.67516,0.3672,1.46071,1.05522,1.01631,0.000901,0.000901,0.000901
7,296.701,1.55744,1.03824,1.00949,0.73368,0.60107,0.69195,0.36845,1.45949,1.04982,1.0163,0.0008812,0.0008812,0.0008812
8,338.619,1.54236,1.02338,1.00501,0.75313,0.60942,0.69031,0.3751,1.42475,1.02025,0.99394,0.0008614,0.0008614,0.0008614
9,380.335,1.5302,1.0043,1.00029,0.75826,0.61615,0.70184,0.37566,1.41898,0.9875,0.99653,0.0008416,0.0008416,0.0008416
10,422.297,1.51886,0.98516,0.99904,0.75172,0.59968,0.70202,0.38719,1.3998,1.00939,0.99908,0.0008218,0.0008218,0.0008218
11,463.939,1.50434,0.97733,0.99569,0.77169,0.62729,0.72119,0.39358,1.3918,0.96371,0.99631,0.000802,0.000802,0.000802
12,506.055,1.50296,0.975,0.99462,0.75777,0.62265,0.71917,0.39986,1.4025,0.97533,1.00278,0.0007822,0.0007822,0.0007822
13,547.956,1.48336,0.95451,0.98928,0.7706,0.61337,0.7185,0.39584,1.38821,0.95814,1.00116,0.0007624,0.0007624,0.0007624
14,589.627,1.47303,0.93409,0.98389,0.7848,0.64447,0.73963,0.41201,1.35274,0.96249,0.98142,0.0007426,0.0007426,0.0007426
15,631.736,1.47458,0.9394,0.98491,0.7635,0.64841,0.73915,0.41339,1.36077,0.91868,0.98584,0.0007228,0.0007228,0.0007228
16,673.541,1.46071,0.93414,0.98502,0.78145,0.65352,0.74244,0.41846,1.33987,0.90241,0.98058,0.000703,0.000703,0.000703
17,715.101,1.45013,0.91935,0.97993,0.77907,0.65189,0.74191,0.42149,1.34941,0.95118,0.98191,0.0006832,0.0006832,0.0006832
18,756.881,1.43648,0.90094,0.97428,0.79802,0.64184,0.7443,0.42298,1.33934,0.90178,0.9788,0.0006634,0.0006634,0.0006634
19,798.679,1.44355,0.90962,0.97778,0.7919,0.64027,0.74691,0.42301,1.32216,0.89474,0.97399,0.0006436,0.0006436,0.0006436
20,840.81,1.43944,0.90194,0.97909,0.81156,0.64565,0.75315,0.42859,1.31851,0.88984,0.9731,0.0006238,0.0006238,0.0006238
21,882.53,1.41549,0.88764,0.97226,0.79252,0.66219,0.75455,0.42779,1.32984,0.87324,0.97758,0.000604,0.000604,0.000604
22,924.343,1.41504,0.88689,0.97095,0.78224,0.65096,0.74879,0.42556,1.33341,0.9287,0.97492,0.0005842,0.0005842,0.0005842
23,966.211,1.41104,0.87373,0.96931,0.77488,0.6686,0.75555,0.42986,1.32317,0.86932,0.98178,0.0005644,0.0005644,0.0005644
24,1007.93,1.41728,0.87444,0.96728,0.79056,0.65584,0.75412,0.4316,1.32286,0.86998,0.97319,0.0005446,0.0005446,0.0005446
25,1051.67,1.3963,0.86508,0.96589,0.81239,0.65537,0.75804,0.43764,1.29462,0.86169,0.96655,0.0005248,0.0005248,0.0005248
26,1093.59,1.39589,0.86053,0.96664,0.789,0.66582,0.76289,0.4397,1.29589,0.85867,0.96275,0.000505,0.000505,0.000505
27,1135.57,1.38879,0.85088,0.9634,0.79486,0.65914,0.76254,0.43983,1.29521,0.87048,0.95889,0.0004852,0.0004852,0.0004852
28,1177.47,1.37924,0.84699,0.9594,0.77864,0.68183,0.77021,0.44253,1.28435,0.86092,0.96376,0.0004654,0.0004654,0.0004654
29,1219.49,1.37827,0.84298,0.95646,0.79881,0.66048,0.76441,0.44439,1.29017,0.8734,0.96012,0.0004456,0.0004456,0.0004456
30,1261.59,1.37701,0.83816,0.95811,0.79625,0.66023,0.76333,0.44379,1.2947,0.85514,0.96402,0.0004258,0.0004258,0.0004258
31,1303.5,1.36609,0.82643,0.95176,0.79241,0.67592,0.77073,0.4488,1.28221,0.83505,0.95582,0.000406,0.000406,0.000406
32,4229.65,1.35888,0.82738,0.95464,0.79765,0.67324,0.77135,0.44748,1.28242,0.83783,0.96207,0.0003862,0.0003862,0.0003862
33,4271.05,1.35826,0.8251,0.95289,0.81093,0.6693,0.77291,0.44944,1.2811,0.82484,0.96427,0.0003664,0.0003664,0.0003664
34,4312.54,1.34048,0.81352,0.94946,0.79628,0.67278,0.77245,0.44931,1.27075,0.81633,0.95719,0.0003466,0.0003466,0.0003466
35,4353.91,1.35383,0.81361,0.95071,0.79191,0.67917,0.77061,0.45207,1.27712,0.83578,0.95604,0.0003268,0.0003268,0.0003268
36,4395.35,1.34028,0.80203,0.94649,0.80039,0.67838,0.77397,0.45234,1.27,0.81912,0.95277,0.000307,0.000307,0.000307
37,4436.93,1.33138,0.80036,0.94592,0.80628,0.67347,0.77194,0.45285,1.27164,0.82259,0.95615,0.0002872,0.0002872,0.0002872
38,4478.53,1.33193,0.79841,0.94486,0.80905,0.68183,0.77958,0.4547,1.27104,0.81669,0.95701,0.0002674,0.0002674,0.0002674
39,4520.24,1.31957,0.78408,0.93998,0.80673,0.67997,0.77731,0.45507,1.26181,0.80096,0.95363,0.0002476,0.0002476,0.0002476
40,4561.99,1.32917,0.79199,0.94679,0.81018,0.67255,0.77471,0.45757,1.25495,0.81655,0.95222,0.0002278,0.0002278,0.0002278
41,4603.07,1.27989,0.75309,0.93223,0.79805,0.67881,0.77433,0.45522,1.25476,0.81697,0.95454,0.000208,0.000208,0.000208
42,4643.97,1.27654,0.74436,0.92936,0.81317,0.66814,0.7774,0.45664,1.25649,0.8191,0.95587,0.0001882,0.0001882,0.0001882
43,4684.89,1.26939,0.73694,0.92774,0.79944,0.6809,0.77645,0.45641,1.25627,0.81613,0.95361,0.0001684,0.0001684,0.0001684
44,4726.05,1.26425,0.73455,0.92643,0.80671,0.67603,0.77824,0.45794,1.2563,0.81692,0.95206,0.0001486,0.0001486,0.0001486
45,4767.15,1.2543,0.72944,0.92404,0.79528,0.68717,0.77771,0.45754,1.24867,0.80671,0.94964,0.0001288,0.0001288,0.0001288
46,4808.02,1.25347,0.71943,0.92318,0.80692,0.676,0.77816,0.45978,1.24895,0.81139,0.95148,0.000109,0.000109,0.000109
47,4849.19,1.24938,0.7152,0.9221,0.81296,0.67904,0.77828,0.45987,1.24916,0.80714,0.95204,8.92e-05,8.92e-05,8.92e-05
48,4890.17,1.24011,0.71041,0.92116,0.80428,0.68282,0.77625,0.45874,1.24855,0.81139,0.95215,6.94e-05,6.94e-05,6.94e-05
